Loans to Black/ African American borrowers,Total number of loans,Institution
5,19,Bank of America
1,4,American Eagle FCU
6,15,People's United Bank
6,23,Webster Bank
6,13,Santander Bank
0,7,Embrace Home Loans
3,7,Farmington Bank
13,20,Freedom Mortgage Corporation
23,28,Residential Mortgage Services
6,24,United Bank
11,21,Village Mortgage Corporation
5,10,Plaza Home Mortgage
1,10,Bank of England
3,10,Wells Fargo Bank
2,10,The Mccue Mortgage Company
2,9,Nationstar Mortgage LLC
